id,label,P144,P31,P136,P57,P161,P364,P58,P272,P344,P162,P840,P495,P1411,P86,P406,P1040,P462,P750,P2554,P2515,P1877,P1981,P2061,P166,P915,P1552,P2747,P2408
Q172241,The Shawshank Redemption,"[""Q968314""]","[""Q11424""]","[""Q130232"",""Q663106"",""Q586250"",""Q959790"",""Q52162262""]","[""Q295445""]","[""Q95048"",""Q48337"",""Q352203"",""Q152542"",""Q313040"",""Q4488"",""Q360313"",""Q693301"",""Q443343"",""Q733776"",""Q1176208"",""Q719256"",""Q687311"",""Q3827125"",""Q1139190"",""Q15665021"",""Q2690748"",""Q3181780"",""Q4722037""]","[""Q1860""]","[""Q295445"",""Q39829""]","[""Q186941"",""Q622848""]","[""Q460277""]","[""Q7034951""]","[""Q724""]","[""Q30""]","[""Q102427"",""Q103916"",""Q131520"",""Q281939"",""Q107258"",""Q488651"",""Q830079""]","[""Q319996""]","[""Q7763724""]","[""Q1969707""]","[""Q22006653""]","[""Q186941""]","[""Q1678535""]","[""Q1331257""]","[""Q39829""]","[""Q20644796""]","[""Q752245""]","[""Q4745055"",""Q823422""]","[""Q983698"",""Q725573"",""Q2551684"",""Q642481""]","[""Q45172088""]","[""Q23830577""]","[""Q18610"",""Q5263"",""Q18581"",""Q2649""]"
Q47703,The Godfather,"[""Q243556""]","[""Q11424""]","[""Q130232"",""Q959790"",""Q7444356"",""Q52162262""]","[""Q56094""]","[""Q34012"",""Q41163"",""Q95043"",""Q464714"",""Q171736"",""Q323166"",""Q296177"",""Q102642"",""Q108622"",""Q318220"",""Q558492"",""Q1622732"",""Q3694232"",""Q380872"",""Q946196"",""Q3809461"",""Q1352034"",""Q734043"",""Q975161"",""Q3811107"",""Q1147417"",""Q752652"",""Q376261"",""Q554430"",""Q960676"",""Q524930"",""Q786720"",""Q673482"",""Q2300160"",""Q658614"",""Q245808"",""Q193628"",""Q19956031"",""Q16575211"",""Q7298995"",""Q29585307""]","[""Q1860"",""Q652""]","[""Q182870"",""Q56094""]","[""Q159846"",""Q17305146""]","[""Q560108""]","[""Q280490""]","[""Q60"",""Q65""]","[""Q30"",""Q38""]","[""Q106291"",""Q106291"",""Q106291"",""Q103916"",""Q103360"",""Q281939"",""Q107258"",""Q277536"",""Q102427"",""Q22235329"",""Q830079""]","[""Q214665""]",,"[""Q920439"",""Q214066""]","[""Q22006653""]","[""Q159846""]","[""Q940271""]","[""Q560865""]","[""Q182870""]","[""Q20644797""]","[""Q752245""]","[""Q102427"",""Q823422"",""Q103916"",""Q107258""]","[""Q18438"",""Q60"",""Q1408"",""Q1460""]","[""Q45172088""]",,
